Accession.trimmed,Gene.Symbol
P55008,AIF1
O95831,AIFM1
Q9BRQ8,AIFM2
Q96NN9,AIFM3
Q9NVV5,AIG1
O14862,AIM2
Q12904,AIMP1
Q13155,AIMP2
Q16352,AINX
Q9NZN9,AIPL1
O00170,AIP
O43918,AIRE
Q9UKB5,AJAP1
C9J069,AJM1
Q96IF1,AJUBA
Q02040,AK17A
P14550,AK1A1
O60218,AK1BA
C9JRZ8,AK1BF
Q04828,AK1C1
P52895,AK1C2
P42330,AK1C3
P17516,AK1C4
P51857,AK1D1
O43572,AKA10
Q9UKA4,AKA11
Q02952,AKA12
Q86UN6,AKA28
O43687,AKA7A
Q9P0M2,AKA7G
P0CW23,AKAI1
Q92667,AKAP1
Q9Y2D5,AKAP2
O75969,AKAP3
Q5JQC9,AKAP4
P24588,AKAP5
Q13023,AKAP6
O43823,AKAP8
Q99996,AKAP9
Q5T2L2,AKCL1
Q96JD6,AKCL2
Q495B1,AKD1A
A6NHY2,AKD1B
Q9P2G1,AKIB1
Q9NQ31,AKIP1
Q9NWT8,AKIP
Q9H9L7,AKIR1
Q53H80,AKIR2
Q7Z591,AKNA
Q5T1N1,AKND1
Q12802,AKP13
Q9ULX6,AKP8L
P31749,AKT1
P31751,AKT2
Q9Y243,AKT3
Q9H8T0,AKTIP
Q96B36,AKTS1
Q8N8R7,AL14E
P00352,AL1A1
O94788,AL1A2
P47895,AL1A3
P30837,AL1B1
O75891,AL1L1
Q3SY69,AL1L2
Q60I27,AL2CL
Q96Q35,AL2SB
P30838,AL3A1
P51648,AL3A2
P43353,AL3B1
P48448,AL3B2
P30038,AL4A1
P20292,AL5AP
P49419,AL7A1
Q9H2A2,AL8A1
P49189,AL9A1
P24298,ALAT1
Q8TD30,ALAT2
P02768,ALBU
P05091,ALDH2
P04075,ALDOA
P05062,ALDOB
P09972,ALDOC
P15121,ALDR
P84996,ALEX
Q2TAA5,ALG11
Q9BV10,ALG12
Q9NP73,ALG13
Q96F25,ALG14
Q6GMV1,ALG1L
Q9BT22,ALG1
Q9H553,ALG2
Q92685,ALG3
Q9Y673,ALG5
Q9Y672,ALG6
Q9BVK2,ALG8
Q9H6U8,ALG9
Q13686,ALKB1
Q6NS38,ALKB2
Q96Q83,ALKB3
Q9NXW9,ALKB4
Q6P6C2,ALKB5
Q3KRA9,ALKB6
Q9BT30,ALKB7
Q96BT7,ALKB8
Q6UXT8,ALKL1
Q6UX46,ALKL2
Q6ZNB7,ALKMO
Q9UM73,ALK
Q8N6M5,ALLC
Q8TCU4,ALMS1
Q96QP1,ALPK1
Q86TB3,ALPK2
Q96L96,ALPK3
P55789,ALR
Q96Q42,ALS2
P35858,ALS
Q15699,ALX1
O95076,ALX3
Q9H161,ALX4
Q9UHK6,AMACR
Q9NP70,AMBN
P02760,AMBP
P19021,AMD
Q99217,AMELX
Q99218,AMELY
Q5JTC6,AMER1
Q8N7J2,AMER2
Q8N944,AMER3
Q6DCA0,AMERL
Q9UKV5,AMFR
Q86WK6,AMGO1
Q86SJ2,AMGO2
Q86WK7,AMGO3
Q16671,AMHR2
Q9Y4X0,AMMR1
Q8IY45,AMN1
Q9BXJ7,AMNLS
Q8IY63,AMOL1
Q9Y2J4,AMOL2
Q4VCS5,AMOT
Q9H4A4,AMPB
P23109,AMPD1
Q01433,AMPD2
Q01432,AMPD3
Q07075,AMPE
P49418,AMPH
P28838,AMPL
P15144,AMPN
Q8N6M6,AMPO
Q6Q4G3,AMPQ
Q9C0C7,AMRA1
P30533,AMRP
Q6UX39,AMTN
P04745,AMY1
P19961,AMY2B
P04746,AMYP
Q400G9,AMZ1
Q86W34,AMZ2
Q8IZ07,AN13A
Q86YJ7,AN13B
Q8N6S4,AN13C
Q6ZTN6,AN13D
Q8IVF6,AN18A
A2A2Z9,AN18B
Q5CZ79,AN20B
Q9BXX3,AN30A
Q9BXX2,AN30B
P39687,AN32A
Q92688,AN32B
O43423,AN32C
O95626,AN32D
Q9BTT0,AN32E
A6NCL7,AN33B
Q69YU3,AN34A
A5PLL1,AN34B
P0C6C1,AN34C
A6QL64,AN36A
Q8N2N9,AN36B
Q5JPF3,AN36C
P54802,ANAG
Q9UJX6,ANC2
Q96K21,ANCHR
P10275,ANDR
P16860,ANFB
P23582,ANFC
Q9P2R3,ANFY1
P01160,ANF
Q9UNK9,ANGE1
Q5VTE6,ANGE2
P03950,ANGI
O95841,ANGL1
Q9UKU9,ANGL2
Q9Y5C1,ANGL3
Q9BY76,ANGL4
Q86XS5,ANGL5
Q8NI99,ANGL6
O43827,ANGL7
Q6UXH0,ANGL8
Q15389,ANGP1
O15123,ANGP2
Q9Y264,ANGP4
P01019,ANGT
E9PGG2,ANHX
P16157,ANK1
Q01484,ANK2
Q12955,ANK3
Q7Z5J8,ANKAR
Q9NU02,ANKE1
Q8N957,ANKF1
Q8IWZ3,ANKH1
Q9HCJ1,ANKH
Q8NFD2,ANKK1
Q8NAG6,ANKL1
Q86XL3,ANKL2
Q15327,ANKR1
Q9GZV1,ANKR2
Q9Y2G4,ANKR6
Q92527,ANKR7
Q96BM1,ANKR9
Q6ZW76,ANKS3
Q68DC2,ANKS6
A6NFN9,ANKUB
Q9P2S6,ANKY1
Q8IV38,ANKY2
Q9H8Y5,ANKZ1
Q9NQW6,ANLN
Q99873,ANM1
P55345,ANM2
O60678,ANM3
O14744,ANM5
Q96LA8,ANM6
Q9NVM4,ANM7
Q9NR22,ANM8
Q6P2P2,ANM9
Q9NW15,ANO10
Q5XXA6,ANO1
Q9NQ90,ANO2
Q9BYT9,ANO3
Q32M45,ANO4
Q75V66,ANO5
Q4KMQ2,ANO6
Q6IWH7,ANO7
Q9HCE9,ANO8
A1A5B4,ANO9
P16066,ANPRA
